question,answer,label
How does the program help with jobs?,Enhances resumes and builds community-focused experience.,Social and Community Engagement Policy
Are projects allowed during the semester?,"Yes, if time permits.",Social and Community Engagement Policy
Can students be denied participation in an organization?,"Yes, if not approved by CDC or Liaison Officer.",Social and Community Engagement Policy
Can students repeat the engagement in future semesters?,Not necessary once completed successfully.,Social and Community Engagement Policy
What impact does the program have on students?,"Promotes empathy, self-awareness, and career readiness.",Social and Community Engagement Policy
What is the benefit for NGOs?,"Access to trained, motivated student volunteers.",Social and Community Engagement Policy
What are some project areas?,"Health, education, environment, malnutrition, etc.",Social and Community Engagement Policy
What is the format of the final report?,"Acknowledgment, contents, introduction, tasks, outcomes, recommendations.",Social and Community Engagement Policy
How does the university benefit from the program?,Builds community ties and boosts institutional reputation.,Social and Community Engagement Policy
Can feedback be used to improve curriculum?,"Yes, engagement experiences can guide curriculum changes.",Social and Community Engagement Policy
What kind of recognition may the university receive?,Awards and partnerships for community impact.,Social and Community Engagement Policy
Are students trained before placement?,"Not formally, but CDC provides guidance.",Social and Community Engagement Policy
How is the program monitored?,Through CDC and Liaison Officer coordination.,Social and Community Engagement Policy
Can external funding be attracted?,"Yes, based on social impact demonstrated.",Social and Community Engagement Policy
Is the program part of graduation requirements?,"Yes, it must be passed with at least 50%.",Social and Community Engagement Policy
How many organizations are in the partner list?,Over 50 NGOs and social institutions.,Social and Community Engagement Policy
Can organizations submit performance feedback?,"Yes, using prescribed evaluation format.",Social and Community Engagement Policy
What are examples of partner NGOs?,"Edhi Foundation, SOS Village, SRSO, Red Crescent, etc.",Social and Community Engagement Policy
What is the effect of this program on job placement?,Enhances employability through practical experience.,Social and Community Engagement Policy
Can engagement be done in another city?,"Yes, if approved by CDC and under listed NGOs.",Social and Community Engagement Policy
What is the university’s long-term goal for this program?,Institutionalize civic responsibility in all graduates.,Social and Community Engagement Policy
Can faculty assist with placements?,"Yes, through liaison roles or references.",Social and Community Engagement Policy
Are group projects allowed?,"Possible, but each student must meet individual 40-hour criteria.",Social and Community Engagement Policy
What is the aim of the Sukkur IBA University Research Policy 2023?,To foster a research-driven environment that aligns with national and international academic standards.,Research Policy
What is ORIC’s role at Sukkur IBA University?,It facilitates and coordinates all research-related activities and promotes industry-academia linkage.,Research Policy
Who is eligible to apply for a research project?,"Any faculty member, preferably PhD holders, as Principal Investigator (PI).",Research Policy
What is a Research Project as defined by the policy?,A structured endeavor funded internally or externally to explore specific academic problems.,Research Policy
Are surveys and data banks considered research projects?,"No, these are explicitly excluded unless they produce publishable outcomes.",Research Policy
Who approves research projects for funding?,The Vice Chancellor based on recommendations from the Expert Panel.,Research Policy
How is a research proposal submitted?,"By submitting it to ORIC with clear objectives, methodology, and budgeting.",Research Policy
What is the mandatory research proposal submission rule for PhD faculty?,"At least one research proposal annually, from July 1 to June 30.",Research Policy
What happens if a faculty member fails to submit a proposal?,"The university HR determines the course of action, which may include warnings or disciplinary steps.",Research Policy
Can faculty receive honorariums through research projects?,"Yes, only if budgeted and approved within the research proposal.",Research Policy
How are profits from consultancy projects distributed?,60% to the research team and 40% to the university’s R&D fund.,Research Policy
Are there limitations on consultancy-based profit sharing?,"Yes, only for projects won by individuals, not by the university as an entity.",Research Policy
What is the financial protocol for unused project funds?,Unused funds must be returned to the donor.,Research Policy
What is the maximum cash reward a faculty can earn per academic year for publications?,"PKR 500,000.",Research Policy
How are cash rewards categorized under Journal Prestige Index (JPI)?,"Based on JPI range: Rs. 50k (1–30), Rs. 100k (31–60), Rs. 150k (61–90), Rs. 200k (>90).",Research Policy
Are Y-category journals eligible for publication rewards?,"No, unless indexed by Scopus or Web of Science.",Research Policy
What journals qualify as Category A?,Those with an Impact Factor and indexed by Scopus and Web of Science.,Research Policy
Can more than one SIBAU faculty member claim reward on a single paper?,"Yes, but only the first SIBAU author in the sequence is eligible unless NOC is provided.",Research Policy
What author positions qualify for publication rewards?,"1st and 2nd (100%), 3rd & 4th (75%), 5th (50%), beyond 5th (no reward).",Research Policy
What is JPI?,"Journal Prestige Index, a metric combining multiple indicators like IF, Eigen Factor, SJR, etc.",Research Policy
What sources are used to calculate JPI?,"HEC HJRS system incorporating Scopus, Web of Science, and SCImago metrics.",Research Policy
What are the key metrics in JPI calculation?,"Eigen Factor, Article Influence, SJR, H-index, CD2, SNIP.",Research Policy
How is reward handled if a supervisor is 2nd author with a student?,50% reward each to supervisor and PhD student.,Research Policy
What happens if multiple authors from SIBAU are listed?,"Reward goes to the first one, unless NOC is obtained from the earlier authors.",Research Policy
Are books and book chapters eligible for cash rewards?,"Yes, if published by SENSE-ranked international publishers.",Research Policy
What is the reward for an authored book?,"PKR 150,000.",Research Policy
What is the reward for an edited book?,"PKR 100,000.",Research Policy
What is the reward for a book chapter?,"PKR 50,000.",Research Policy
Are PhD theses published as books eligible for reward?,"No, they are explicitly excluded.",Research Policy
What is required to publish under SIBAU affiliation?,"The article must mention ""Sukkur IBA University"" in the author’s affiliation.",Research Policy
How are rewards processed?,Upon recommendation from the Expert Panel and VC’s approval.,Research Policy
What support is offered for conference travel?,"Up to PKR 300,000 per academic year for indexed conferences.",Research Policy
How many conference travels can one faculty member undertake per year?,One SIBAU-sponsored trip per academic year.,Research Policy
What indexing services qualify a conference for sponsorship?,"Scopus, Web of Science, IEEE, ACM, Springer.",Research Policy
Is authorship required for conference sponsorship?,"Yes, participation-only is not supported.",Research Policy
Are abstract-only conference submissions supported?,"No, only full-length peer-reviewed papers qualify.",Research Policy
Can non-first authors apply for conference travel?,Only if the first author is unable to attend due to valid reasons.,Research Policy
When should travel grant applications be submitted?,At least 8 weeks before the conference date.,Research Policy
Can faculty use research funds for travel?,"Yes, if budgeted in their research proposal.",Research Policy
Are conference proceedings required post-conference?,"Yes, they must be submitted to ORIC for record.",Research Policy
What is the University Best Researcher Award?,"An annual award recognizing top researchers with Rs. 200,000 and a certificate.",Research Policy
What are the eligibility criteria for the Best Researcher Award?,"At least 3 years of service, 4 taught courses, and top-5 authorship in impactful papers.",Research Policy
Can a previous awardee apply again next year?,Only after a 3-year gap.,Research Policy
What is the reward for best departmental researcher?,"PKR 75,000 and a certificate.",Research Policy
What score is awarded for a JPI >90 paper in award evaluation?,"10 points per paper, up to a max of 25 points.",Research Policy
Are research grants considered in the Best Researcher Award?,"Yes, up to 25 points depending on funding amount.",Research Policy
Are patents recognized in the scoring system?,"Yes, with 10–25 points depending on status.",Research Policy
How many points are given for PhD supervision?,10 points per PhD graduate produced in a year.,Research Policy
Are conference keynote speeches rewarded?,"Yes, 2.5 points (international), 1.25 points (national).",Research Policy
Are only regular faculty eligible for research awards?,"Yes, minimum 3 years of regular teaching required.",Research Policy
Who determines final approval for rewards and funding?,"The Vice Chancellor, based on Expert Panel recommendations.",Research Policy
Can co-supervisors of research students claim rewards?,"No, only main supervisors are eligible.",Research Policy
Is there a cap on the reward amount per academic year?,"Yes, PKR 500,000 per researcher per year.",Research Policy
Do faculty need to publish every year?,"Yes, at least one publication in an HEC-recognized journal is mandatory.",Research Policy
Who must enforce non-compliance of publication requirements?,"The university HR, with recommendations from ORIC.",Research Policy
Can non-PhD faculty claim publication rewards?,"No, only PhD faculty and PhD students with supervisor collaboration.",Research Policy
What is the format for reward claim submission?,Through ORIC with complete documentation and supporting evidence.,Research Policy
Are inter-departmental research projects encouraged?,"Yes, particularly multidisciplinary projects are prioritized.",Research Policy
Can research team members be from other institutions?,"Yes, collaborative teams are encouraged.",Research Policy
